
# Surface 0 of 1 surfaces

# Curve title: "ray*cos(u)*cos(v),ray*cos(u)*sin(v),ray*sin(u)"

# IsoCurve 0, 27 points
# x y z type
 0.336875  0.888265 -2.32683e-16 i

# IsoCurve 6, 27 points
# x y z type
 0.11451  0.943073  0 i
 0.111182  0.915669  0.22735 i
 0.101393  0.83505  0.441487 i
 0.0857119  0.705901  0.629967 i
 0.065049  0.535727  0.781835 i
 0.0406058  0.334418  0.888265 i
 0.0138026  0.113675  0.943073 i
-0.0138026 -0.113675  0.943073 i
-0.0406058 -0.334418  0.888265 i
-0.065049 -0.535727  0.781835 i
-0.0857119 -0.705901  0.629967 i
-0.101393 -0.83505  0.441487 i
-0.111182 -0.915669  0.22735 i
-0.11451 -0.943073  1.16341e-16 i
-0.111182 -0.915669 -0.22735 i
-0.101393 -0.83505 -0.441487 i
-0.0857119 -0.705901 -0.629967 i
-0.065049 -0.535727 -0.781835 i
-0.0406058 -0.334418 -0.888265 i
-0.0138026 -0.113675 -0.943073 i
 0.0138026  0.113675 -0.943073 i
 0.0406058  0.334418 -0.888265 i
 0.065049  0.535727 -0.781835 i
 0.0857119  0.705901 -0.629967 i
 0.101393  0.83505 -0.441487 i
 0.111182  0.915669 -0.22735 i
 0.11451  0.943073 -2.32683e-16 i

# IsoCurve 7, 27 points
# x y z type
-0.11451  0.943073  0 i
-0.111182  0.915669  0.22735 i
-0.101393  0.83505  0.441487 i
-0.0857119  0.705901  0.629967 i
-0.065049  0.535727  0.781835 i
-0.0406058  0.334418  0.888265 i
-0.0138026  0.113675  0.943073 i
 0.0138026 -0.113675  0.943073 i
 0.0406058 -0.334418  0.888265 i
 0.065049 -0.535727  0.781835 i
 0.0857119 -0.705901  0.629967 i
 0.101393 -0.83505  0.441487 i
 0.111182 -0.915669  0.22735 i
 0.11451 -0.943073  1.16341e-16 i
 0.111182 -0.915669 -0.22735 i
 0.101393 -0.83505 -0.441487 i
 0.0857119 -0.705901 -0.629967 i
 0.065049 -0.535727 -0.781835 i
 0.0406058 -0.334418 -0.888265 i
 0.0138026 -0.113675 -0.943073 i
-0.0138026  0.113675 -0.943073 i
-0.0406058  0.334418 -0.888265 i
-0.065049  0.535727 -0.781835 i
-0.0857119  0.705901 -0.629967 i
-0.101393  0.83505 -0.441487 i
-0.111182  0.915669 -0.22735 i
-0.11451  0.943073 -2.32683e-16 i

# IsoCurve 8, 27 points
# x y z type
-0.336875  0.888265  0 i
-0.327086  0.862454  0.22735 i
-0.298288  0.78652  0.441487 i
-0.252154  0.664876  0.629967 i
-0.191367  0.504592  0.781835 i
-0.119457  0.314983  0.888265 i
-0.0406058  0.107069  0.943073 i
 0.0406058 -0.107069  0.943073 i
 0.119457 -0.314983  0.888265 i
 0.191367 -0.504592  0.781835 i
 0.252154 -0.664876  0.629967 i
 0.298288 -0.78652  0.441487 i
